,Acrolect,Creole_word,Creole_name
243,femelle, fimèl ,Martinique
244,fesse, fès ; ponm-fès ,Martinique
245,fête," lafèt, fèt, banbôch, penteng ",Martinique
246,feuille, fèy ,Martinique
247,filiforme, mègzoklèt ,Martinique
248,finir, fini ,Martinique
249,flatter," flaté, sousé ",Martinique
250,flatteur," flatè, sousè, sousèkè ",Martinique
251,force," lafôs, fôs ",Martinique
252,fort, fô ,Martinique
253,fou (folle)," fou, dèkdèk, tôktôk ",Martinique
254,fouiller," foué, friyé ",Martinique
255,foutre, fouté ,Martinique
256,frêle ," fiankan, flègèdè, flègèdek ",Martinique
257,froid (le), frédi ,Martinique
258,froid (avoir), frèt ,Martinique
259,frontière, lalinman ,Martinique
260,fruit-à-pain," fouyapen, friyapen ",Martinique
261,fusil, fizi ,Martinique
262,fusiller, fisiller ,Martinique
263,gaieté, djété ,Martinique
264,gallodrome, pit ,Martinique
265,galoper, galoper ,Martinique
266,galopin, mamoukatji ,Martinique
267,gamelle, ganmèl ,Martinique
268,garçon, gason ,Martinique
269,garde, gad ,Martinique
270,garnir, garni ,Martinique
271,gâteau, gato ,Martinique
272,georges, jôj ,Martinique
273,geste, jès ,Martinique
274,gifle, kalôt ,Martinique
275,gifle sur les deux joues, palaviré ,Martinique
276,giron, madafa ,Martinique
277,goût, gou ,Martinique
278,goûter, gouté ,Martinique
279,goûter (un), katrè ,Martinique
280,grec, grèk ,Martinique
281,grèce," lagrès, grès ",Martinique
282,graisse," lagrès, grès ",Martinique
283,gratter, graté ,Martinique
284,grève," lagrèv, grèv ",Martinique
285,gréviste, grévis ,Martinique
286,grossier, gwosomodo ,Martinique
287,hardi," hadi, radi ",Martinique
288,haut, wo ,Martinique
289,hauteur, wotè ,Martinique
290,hindouisme," bondyé-kouli, mayémenn ",Martinique
291,hisser, palantjé ,Martinique
292,hiver, livè,Martinique
293,infirme," enpyôk, enfim ",Martinique
294,innocent, inosan ,Martinique
295,instituteur, enstititè ,Martinique
296,inutile, initil ,Martinique
297,inventaire , lenvantè,Martinique
298,jalousie, jalouzi ,Martinique
299,jambon, janbon ,Martinique
300,jardin, jaden ,Martinique
301,jare, ja ,Martinique
302,jaune, jôn ,Martinique
303,jeu, jé ,Martinique
304,jeudi, jédi ,Martinique
305,jeune, jenn ,Martinique
306,jeunesse, jénès ,Martinique
307,Jésus-christ,  Jézikri ,Martinique
308,jour, jou ,Martinique
309,journée," lajounen, jounen ",Martinique
310,judo, jido ,Martinique
311,judoka, jidoka ,Martinique
312,jujube, jijib ,Martinique
313,juge, jij ,Martinique
314,juger, jijé ,Martinique
