,word,creole_word,creole name
468,couvenant n,konvansyon,hatian
469,convince,konvenk,hatian
470,proper,konvnab,hatian
471,convene,"konvoke, reyini",hatian
472,summon,konvoke,hatian
473,lust,konvwate,hatian
474,cognac,konyak,hatian
475,coincidence,konyensidans,hatian
476,copy n,kopi,hatian
477,copy v,kopye,hatian
478,correct adj,kòrèk,hatian
479,correspond,"koresponn, ekri",hatian
480,hall,"koridò, òl",hatian
481,revise v,"korije, revize",hatian
482,amend,korije,hatian
483,correct v,korije,hatian
484,bribe,kòronp,hatian
485,coarse,koryas,hatian
486,jacket,kostim,hatian
487,suit,kostim,hatian
488,rib,"kòt, zokòt",hatian
489,side by side,kòt a kòt,hatian
490,place n,"kote, andwa",hatian
491,side n,kote,hatian
492,cotton,koton,hatian
493,kick,"kou, (v) frape ak pye",hatian
494,when,"kou, kan, kilè, likè",hatian
495,,kou ( a hit with a stick = kou d baton) hoarse,hatian
496,blow n. kou - bump n. kou -,"hit n kou, chòk",hatian
497,neck,bump kou,hatian
498,time,kou,hatian
499,curve,koub,hatian
500,bend,koube,hatian
501,bow v,koube,hatian
502,lay,"kouche, etann, blayi",hatian
503,go to bed,kouche,hatian
504,set (the sun ...s),kouche,hatian
505,sew,"koud, (seeds) simen",hatian
506,elbow,koud,hatian
507,join,koud,hatian
508,owl,koukou,hatian
509,firefly,koukouy,hatian
510,color n,koulè,hatian
511,dive,koule,hatian
512,flow,koule,hatian
513,leak v,koule,hatian
514,run down v.,koule,hatian
515,sink v,koule,hatian
516,serpent,koulèv,hatian
517,snake,koulèv,hatian
518,a - now,kounye,hatian
519,a - presently,kounye,hatian
520,couple n,"koup, pè",hatian
521,guilty,koupab,hatian
522,quench (thirst),koupe swaf,hatian
523,nip,"koupe, kase boujon",hatian
524,"love, make",koupe,hatian
525,chop v,koupe,hatian
526,cut v,koupe,hatian
527,incise,koupe,hatian
528,interrupt,koupe,hatian
529,"sex, to have",koupe,hatian
530,sharp,koupe,hatian
531,strength,"kouraj, pwisans",hatian
532,courage,kouraj,hatian
533,mettle,kouraj,hatian
534,fluent,kouran,hatian
535,current n,kouran elektrik,hatian
536,current adj,kouran,hatian
537,draft n,kourandè,hatian
538,chase v,"kouri dèyè, chase",hatian
