word,creole_word,creole name
on foot,a pye,Haitian
 walking,a pye,Haitian
afresh,a nouvo,Haitian
finally,"  a la fen (alè ki le, finalman) ",Haitian
extremely,a mò,Haitian
down with...!,aba,Haitian
jeans,abako,Haitian
"to abandon, abandoned",abandonnen (bandonnen),Haitian
to live,abite,Haitian
habit,abitid,Haitian
accustom to,abitwe,Haitian
to dress,abiye,Haitian
to abuse (take advantage),abize,Haitian
absent,absan,Haitian
aboard,abò,Haitian
to approach,abòde,Haitian
"to a abolish, abolished",aboli,Haitian
"subscription, standing order",abònman,Haitian
"done in, drained (tired)",about,Haitian
overactive,about,Haitian
to arrive,abouti,Haitian
"to relieve, to sustain",abreje,Haitian
type of fruit,abriko (zabriko),Haitian
absent,absan,Haitian
abscess,abse,Haitian
absinte,absent,Haitian
purchase,acha,Haitian
architect,achitek,Haitian
archive,achiv,Haitian
to buy,achte,Haitian
buyer,achtè,Haitian
"to fawn, to curry favor",achtè figi (achte deye),Haitian
to adapt,adapte,Haitian
adhesive tape,adezif,Haitian
adultery,adiltè,Haitian
adress,adrès,Haitian
"to petition, to appeal to",adrese,Haitian
right (direction),adwat,Haitian
slate,adwaz,Haitian
business,afe,Haitian
affection,afeksyon,Haitian
depressed,afese,Haitian
poster,afich,Haitian
to post,afiche,Haitian
to be seen in public,afiche,Haitian
because of (as a result of),afòs,Haitian
gluttonous,afre,Haitian
gluttony,afreman,Haitian
pleasent,agreyab,Haitian
silver,ajan,Haitian
agency,ajans,Haitian
silverware,ajantri,Haitian
knell,ajenou,Haitian
adjust,ajiste,Haitian
add,ajoute,Haitian
and,ak,Haitian
with,ak,Haitian
drive-in,ak machin,Haitian
accept,aksepte,Haitian
accident,aksidan,Haitian
action,aksyon,Haitian
deed,aksyon,Haitian
actuate,aksyonen,Haitian
act,aktè,Haitian
act,aktè,Haitian
active,aktif,Haitian
activity,aktivite,Haitian
go to bed,al dòmi,Haitian
as for,ala,Haitian
scare,alame (fè pè),Haitian
around,alantou (otou),Haitian
