Word,Creole_word,Creole_name
to establish,butá  ,Saramaccan
to put,butá  ,Saramaccan
to delay,buujá,Saramaccan
to hesitate,buujá,Saramaccan
"hatch, to",buuká  ,Saramaccan
"peel, to",buuká  ,Saramaccan
"shell, to",buuká  ,Saramaccan
pants,buúku  ,Saramaccan
trousers,buúku  ,Saramaccan
hate,buusé,Saramaccan
to hate,buusé,Saramaccan
enemy,buuséma,Saramaccan
blood,buúu,Saramaccan
completely,búúú,Saramaccan
stretcher,daági,Saramaccan
rum,daán,Saramaccan
awning,dabilé,Saramaccan
dog,dágu,Saramaccan
day,dáka,Saramaccan
rapids,dán,Saramaccan
lace,dantéi,Saramaccan
doctor,dáta,Saramaccan
to be,dë́  ,Saramaccan
to be necessary,dë́  ,Saramaccan
dry,dëë́,Saramaccan
to dry,dëë́,Saramaccan
medicine,deési,Saramaccan
thirsty,dëë́wáta  ,Saramaccan
brazen,dëë́wójo,Saramaccan
brazenness,dëë́wójo,Saramaccan
thick,dégi,Saramaccan
courage,dégíháti,Saramaccan
encouragement,dégíháti,Saramaccan
blanket,déigi,Saramaccan
dagger,dëkpë,Saramaccan
thongs,deláila,Saramaccan
inside,déndu,Saramaccan
energetic,dënkú,Saramaccan
themselves,désééi,Saramaccan
sticky,diaan,Saramaccan
daylight,didía,Saramaccan
devil,didíbi,Saramaccan
three,dií,Saramaccan
expensive,díi  ,Saramaccan
not seen often,díi  ,Saramaccan
drink,diíngi  ,Saramaccan
to ferment,diíngi  ,Saramaccan
to drift (i.e. water),diípi  ,Saramaccan
to recede,diípi  ,Saramaccan
thirty,diíténi,Saramaccan
to dig,díki  ,Saramaccan
director,dikitóo,Saramaccan
to double-cross,dimbolí  ,Saramaccan
to wrap up,dimbolí  ,Saramaccan
to leave,disá  ,Saramaccan
to stop,disá  ,Saramaccan
this,dísi,Saramaccan
yard,djái,Saramaccan
coat,djákíti,Saramaccan
jacket,djákíti,Saramaccan
jealous,djalúsu,Saramaccan
gem,djamátí sítónu,Saramaccan
jewel,djamátí sítónu,Saramaccan
stingray,djampaíni,Saramaccan
peccary,djampö,Saramaccan
tall,djangaa,Saramaccan
deer,djangafútu,Saramaccan
vulture,djankóo,Saramaccan
rope,djeendjé  ,Saramaccan
squirrel,djeendjé  ,Saramaccan
island,djégi,Saramaccan
peninsula,djégi,Saramaccan
gentlemanly,djë́ndë,Saramaccan
container,djógu  ,Saramaccan
earthen water container,djógu  ,Saramaccan
fish,djógu  ,Saramaccan
jug,djógu  ,Saramaccan
jump,djómbo,Saramaccan
sudden action,djómbo,Saramaccan
toad,djómboma,Saramaccan
hip,djönkú  ,Saramaccan
genuine,dju  ,Saramaccan
Jew,djú bákáa,Saramaccan
daybreak,dóbóóko  ,Saramaccan
Dutch,dóisi,Saramaccan
overbearing,dökíön,Saramaccan
rat,dökufö́utu,Saramaccan
lump,dómbo,Saramaccan
preacher,dómini,Saramaccan
dumb,dón,Saramaccan
stupid,dón,Saramaccan
door,dö́ö  ,Saramaccan
door post,dö́ö páu  ,Saramaccan
shinbone,dö́ö páu  ,Saramaccan
night pot,doodó  ,Saramaccan
to rock or swing back and forth,doodó  ,Saramaccan
moonlight,dö́ö́límbo,Saramaccan
drunk,döö́ngö,Saramaccan
drunkard,döö́ngöma  ,Saramaccan
plant for making medicine,döö́ngöma  ,Saramaccan
outside,dö́ö́së,Saramaccan
baptism,dópu,Saramaccan
to baptize,dópu,Saramaccan
case for something,dósu,Saramaccan
earth,dóti,Saramaccan
earthen,dóti,Saramaccan
deed,dú,Saramaccan
to do,dú,Saramaccan
cloth,dúku,Saramaccan
dark,dúngu,Saramaccan
jail,dunguwósu,Saramaccan
prison,dunguwósu,Saramaccan
thousand,dúsu,Saramaccan
sleep,duumí  ,Saramaccan
to sleep,duumí  ,Saramaccan
goodbye,duumúndu,Saramaccan
force,duwéngi,Saramaccan
to force,duwéngi,Saramaccan
if,ée,Saramaccan
ice,ë́ísi,Saramaccan
eleven,ë́lúfu,Saramaccan
November,ë́lúfúmu,Saramaccan
her,ën,Saramaccan
him,ën,Saramaccan
it,ën,Saramaccan
yet,éti,Saramaccan
"manner of being, living or doing",fá  ,Saramaccan
ebb of water,fáa  ,Saramaccan
to fell (a tree),fáa  ,Saramaccan
menstruation,faádji,Saramaccan
flag,faáka  ,Saramaccan
to follow,faáka  ,Saramaccan
frayed edges,faándja  ,Saramaccan
fringe,faándja  ,Saramaccan
French,faánsi,Saramaccan
French Guyana,faánsi,Saramaccan
unconscious,faáu,Saramaccan
electricity,fája  ,Saramaccan
fire,fája  ,Saramaccan
lamp,fája  ,Saramaccan
light,fája  ,Saramaccan
flames,fájátö́ngö,Saramaccan
knife,fáka,Saramaccan
