Word,Creole_word,Creole_name
sécher, séché ,Martinique
sécheresse," chesres, sechres ",Martinique
sein, tété ,Martinique
sel, sel ,Martinique
semer , simen ,Martinique
sentier, tras ,Martinique
sentir, santi ,Martinique
série," séri, latilié, etsétéra ",Martinique
sérieux ," sérié, sériez ",Martinique
serrure, séri ,Martinique
seul," sel, yonn ",Martinique
sieste," bas-tet, kanm, lasies ",Martinique
soeur," sésé, sè ",Martinique
soir," swè, oswè ",Martinique
sommeil, sonmèy ,Martinique
sommeiller," dômi ; fè an kanm, fè an pôztèt ",Martinique
sorcellerie, tjenbwa ,Martinique
sorcier," tjenbwazè, manntò ",Martinique
souffle, souf ,Martinique
souffre, souf ,Martinique
souffrance, soufwans ,Martinique
soulagement," soulajman, wouspèl ",Martinique
soulager," soulajé, ba an wouspèl ",Martinique
souffrir, soufè ,Martinique
soupe-au-lait, soupoulèt ,Martinique
sourd, soud ,Martinique
sucette, sisèt ,Martinique
sucer," sisé, fè an sous ",Martinique
suer, swé ,Martinique
sud," li-sid, sid ",Martinique
supplication," siplikasyon, tanprisouplé ",Martinique
supplice, siplis ,Martinique
supplier," sipliyé, mandé tanprisouplé",Martinique
tambour, tanbou ,Martinique
tambourinaire, tanbouyé ,Martinique
tazard, taza ,Martinique
téléphone, téléfôn ,Martinique
téléphoner, téléfônen ,Martinique
tenir tête, tèsté ,Martinique
testicule, grenn ,Martinique
théâtre, téyat ,Martinique
timbre, tenm ,Martinique
timid, timide ,Martinique
timidité, timidité ,Martinique
tort, tô ,Martinique
touiller, lélé ,Martinique
tranquille, trantjil ,Martinique
tranquillité, trantjilité ,Martinique
transformateur, transfômatè ,Martinique
transformation,"  transfômasyon, mofwaz ",Martinique
transformer," transfômé, mofwazé ",Martinique
transport, transpô ,Martinique
triste, tris ,Martinique
tristesse," tristès, latristès ",Martinique
trou," tou, twou ",Martinique
trouble, twoub ,Martinique
troubler, twoublé ,Martinique
tuer, tjwé ,Martinique
tuf, tif ,Martinique
urine, pisa ,Martinique
uriner," pisé, fè pipi ",Martinique
usine, lizin ,Martinique
usinier, izinyé,Martinique
verre de rhum," ponch, pétépyé, sèk, tisèk, foliba, maténonm ",Martinique
véritable, véritab ,Martinique
versatile, palayi-palaya ,Martinique
vie, lavi ,Martinique
vice, vis ,Martinique
vicieux," visyé, mako ",Martinique
vis, vis ,Martinique
voiture, loto ,Martinique
voler, vôlè ,Martinique
vorace," agoulou, agoulou-gran-fal, saf ",Martinique
voracité, agouloutri ,Martinique
vouloir, lé ,Martinique
voyou, vakabon ,Martinique
vrai, vré,Martinique
barbe, bab ,Martinique
cache-cache, zwèlséré ,Martinique
dangereux, danjéré ,Martinique
ébrécher, bréché ,Martinique
fard, fa ,Martinique
gai, djé ,Martinique
hameçon, zen ,Martinique
incube, dôwlis ,Martinique
jaloux, jalou ,Martinique
kaki, kaki ,Martinique
lâche," kapon, lach ",Martinique
maigre, mèg ,Martinique
nain, mamoukatji ,Martinique
obéïr, obéyi ,Martinique
palmiste, palmis ,Martinique
quart, ka ,Martinique
raccourci, chimen-dékoupé ,Martinique
saler, salé ,Martinique
tacot, bradjak ,Martinique
un , yonn ,Martinique
varech, wawèt ,Martinique
